Symbol,Close,Open,High,Low,Volume,Value,Date,OpenInt
VNG,8700.0,8700.0,8720.0,8610.0,9800.0,0.0,2023-10-13,0.0
VNG,8690.0,8700.0,8800.0,8610.0,3300.0,0.0,2023-10-16,0.0
VNG,8690.0,8630.0,8700.0,8630.0,6700.0,0.0,2023-10-17,0.0
VNG,8550.0,8690.0,8690.0,8550.0,5400.0,0.0,2023-10-18,0.0
VNG,8400.0,8109.999999999999,8400.0,8109.999999999999,7500.0,0.0,2023-10-19,0.0
VNG,8390.0,8200.0,8390.0,8200.0,12100.0,0.0,2023-10-20,0.0
VNG,8380.0,8390.0,8500.0,8380.0,6700.0,0.0,2023-10-23,0.0
VNG,8380.0,8380.0,8380.0,8350.0,5600.0,0.0,2023-10-24,0.0
VNG,8500.0,8380.0,8500.0,8240.0,2500.0,0.0,2023-10-25,0.0
VNG,8250.0,8500.0,8500.0,8109.999999999999,8700.0,0.0,2023-10-26,0.0
VNG,8680.0,8250.0,8800.0,8200.0,5900.0,0.0,2023-10-27,0.0
VNG,8500.0,8220.0,8500.0,8100.0,5300.0,0.0,2023-10-30,0.0
VNG,8250.0,8250.0,8450.0,8250.0,3300.0,0.0,2023-10-31,0.0
VNG,8230.0,7810.0,8280.0,7810.0,10000.0,0.0,2023-11-01,0.0
VNG,8000.0,8260.0,8300.0,8000.0,35700.0,0.0,2023-11-02,0.0
VNG,8240.0,8100.0,8240.0,7810.0,13300.0,0.0,2023-11-03,0.0
VNG,8450.0,8010.0,8450.0,8010.0,8700.0,0.0,2023-11-06,0.0
VNG,8480.0,8430.0,8530.0,8029.999999999999,1600.0,0.0,2023-11-07,0.0
VNG,8350.0,8220.0,8350.0,8210.0,1800.0,0.0,2023-11-08,0.0
VNG,8310.0,8350.0,8390.0,8250.0,6000.0,0.0,2023-11-09,0.0
VNG,8350.0,8350.0,8350.0,8000.0,3800.0,0.0,2023-11-10,0.0
VNG,8350.0,8350.0,8350.0,8350.0,0.0,0.0,2023-11-13,0.0
VNG,8200.0,8029.999999999999,8320.0,8029.999999999999,700.0,0.0,2023-11-14,0.0
VNG,8160.0,8029.999999999999,8420.0,8029.999999999999,14500.0,0.0,2023-11-15,0.0
VNG,8130.000000000001,8039.999999999999,8200.0,8039.999999999999,12600.0,0.0,2023-11-16,0.0
VNG,8100.0,8130.000000000001,8200.0,8100.0,14600.0,0.0,2023-11-17,0.0
VNG,8010.0,8000.0,8290.0,7810.0,5300.0,0.0,2023-11-20,0.0
VNG,8000.0,8010.0,8010.0,8000.0,12000.0,0.0,2023-11-21,0.0
VNG,8000.0,8010.0,8010.0,8000.0,5000.0,0.0,2023-11-22,0.0
VNG,8000.0,8000.0,8050.000000000001,7900.0,3400.0,0.0,2023-11-23,0.0
VNG,8000.0,8000.0,8100.0,7900.0,1600.0,0.0,2023-11-24,0.0
VNG,8000.0,8000.0,8000.0,7850.0,4500.0,0.0,2023-11-27,0.0
VNG,8000.0,8189.999999999999,8189.999999999999,7950.0,3400.0,0.0,2023-11-28,0.0
VNG,8000.0,7900.0,8000.0,7900.0,6200.0,0.0,2023-11-29,0.0
VNG,8170.0,8390.0,8390.0,7960.0,2200.0,0.0,2023-11-30,0.0
VNG,8140.000000000001,8000.0,8140.000000000001,7800.0,5400.0,0.0,2023-12-01,0.0
VNG,8170.0,8000.0,8180.0,8000.0,6700.0,0.0,2023-12-04,0.0
VNG,8170.0,8180.0,8180.0,7900.0,10500.0,0.0,2023-12-05,0.0
VNG,8220.0,8080.0,8220.0,8000.0,39500.0,0.0,2023-12-06,0.0
VNG,8109.999999999999,8100.0,8109.999999999999,8100.0,4800.0,0.0,2023-12-07,0.0
VNG,8109.999999999999,8109.999999999999,8170.0,8109.999999999999,3500.0,0.0,2023-12-08,0.0
VNG,8100.0,8119.999999999999,8119.999999999999,8010.0,10800.0,0.0,2023-12-11,0.0
VNG,8080.0,8100.0,8180.0,8020.0,2000.0,0.0,2023-12-12,0.0
VNG,8130.000000000001,8020.0,8180.0,8000.0,26600.0,0.0,2023-12-13,0.0
VNG,7900.0,8020.0,8020.0,7900.0,15500.0,0.0,2023-12-14,0.0
VNG,8119.999999999999,8140.000000000001,8140.000000000001,8119.999999999999,2400.0,0.0,2023-12-15,0.0
VNG,8100.0,8119.999999999999,8119.999999999999,7900.0,9500.0,0.0,2023-12-18,0.0
VNG,8010.0,8010.0,8010.0,7950.0,15000.0,0.0,2023-12-19,0.0
VNG,8140.000000000001,8010.0,8140.000000000001,8010.0,3700.0,0.0,2023-12-20,0.0
VNG,8400.0,8100.0,8400.0,8050.000000000001,34200.0,0.0,2023-12-21,0.0
VNG,8950.0,8390.0,8950.0,8390.0,82800.0,0.0,2023-12-22,0.0
VNG,9550.0,8940.0,9550.0,8850.0,74200.0,0.0,2023-12-25,0.0
VNG,9450.0,9550.0,9550.0,9160.0,34500.0,0.0,2023-12-26,0.0
VNG,9550.0,9450.0,9550.0,8800.0,58000.0,0.0,2023-12-27,0.0
VNG,9800.0,9150.0,9800.0,8930.0,124400.0,0.0,2023-12-28,0.0
VNG,10000.0,9550.0,10000.0,9120.0,359900.0,0.0,2023-12-29,0.0
VNG,9980.0,9500.0,10000.0,9500.0,10700.0,0.0,2024-01-02,0.0
VNG,9520.0,9950.0,9950.0,9410.0,6200.0,0.0,2024-01-03,0.0
VNG,9510.0,9520.0,9520.0,9410.0,5200.0,0.0,2024-01-04,0.0
VNG,9120.0,9060.0,9490.0,9060.0,8100.0,0.0,2024-01-05,0.0
VNG,9250.0,9020.0,9290.0,9020.0,10000.0,0.0,2024-01-08,0.0
VNG,9040.0,9250.0,9250.0,9000.0,7000.0,0.0,2024-01-09,0.0
VNG,9050.0,9200.0,9200.0,9000.0,11700.0,0.0,2024-01-10,0.0
VNG,9300.0,9550.0,9550.0,8910.0,800.0,0.0,2024-01-11,0.0
VNG,9100.0,9440.0,9440.0,9050.0,1500.0,0.0,2024-01-12,0.0
VNG,9000.0,9500.0,9500.0,8900.0,12200.0,0.0,2024-01-15,0.0
VNG,9260.0,8980.0,9390.0,8950.0,7500.0,0.0,2024-01-16,0.0
VNG,9230.0,9020.0,9230.0,8950.0,9400.0,0.0,2024-01-17,0.0
VNG,9100.0,9010.0,9100.0,8910.0,9300.0,0.0,2024-01-18,0.0
VNG,9200.0,9100.0,9300.0,9100.0,5500.0,0.0,2024-01-19,0.0
VNG,9200.0,9200.0,9200.0,9200.0,0.0,0.0,2024-01-22,0.0
VNG,9000.0,9000.0,9000.0,9000.0,1000.0,0.0,2024-01-23,0.0
VNG,8910.0,9000.0,9000.0,8910.0,3500.0,0.0,2024-01-24,0.0
VNG,9000.0,8900.0,9000.0,8420.0,1300.0,0.0,2024-01-25,0.0
VNG,8990.0,8470.0,8990.0,8470.0,7000.0,0.0,2024-01-26,0.0
VNG,8870.0,8950.0,9000.0,8870.0,3200.0,0.0,2024-01-29,0.0
VNG,9150.0,8370.0,9150.0,8370.0,600.0,0.0,2024-01-30,0.0
VNG,8990.0,8550.0,9000.0,8550.0,1800.0,0.0,2024-01-31,0.0
VNG,8900.0,8980.0,8980.0,8850.0,4000.0,0.0,2024-02-01,0.0
VNG,8910.0,8910.0,8910.0,8910.0,600.0,0.0,2024-02-02,0.0
VNG,8910.0,8910.0,8910.0,8910.0,2100.0,0.0,2024-02-05,0.0
VNG,8910.0,8910.0,8910.0,8650.0,1000.0,0.0,2024-02-06,0.0
VNG,8910.0,8910.0,8910.0,8910.0,800.0,0.0,2024-02-07,0.0
VNG,8920.0,8910.0,8920.0,8900.0,6200.0,0.0,2024-02-15,0.0
VNG,8930.0,8920.0,9300.0,8890.0,9200.0,0.0,2024-02-16,0.0
VNG,9280.0,8980.0,9300.0,8950.0,5800.0,0.0,2024-02-19,0.0
VNG,9270.0,9280.0,9280.0,8930.0,8100.0,0.0,2024-02-20,0.0
VNG,9010.0,9270.0,9290.0,9010.0,7800.0,0.0,2024-02-21,0.0
VNG,9000.0,9010.0,9010.0,9000.0,2200.0,0.0,2024-02-22,0.0
VNG,9000.0,8930.0,9000.0,8900.0,10800.0,0.0,2024-02-23,0.0
